id,label,name,boost
hotel:f7e08311,Hotel,Hotel Maria Cristina,1.0
activity:ce078d3a,Activity,Biarritz Gezisi,1.0
activity:42b77812,Activity,Saint Jean De Luz Gezisi,1.0
activity:f9108cca,Activity,San Sebastian Şehir Gezisi,1.0
activity:6663b3d9,Activity,Guggenheim Müzesi Gezisi,1.0
restaurant:89c902de,Restaurant,Restaurante Ilura,1.0
restaurant:7d5a0398,Restaurant,Elkano Restaurant,1.0
restaurant:2327c809,Restaurant,Cafe Iruña,1.0
trip:3c14a6de,Trip,AVUSTRALYA & YENİ ZELANDA TURU 14 ARALIK – 3 OCAK,1.0
city:519d71b3,City,Singapore,1.0
city:46659217,City,Auckland,1.0
city:7b0adbab,City,Rotorua,1.0
city:ebc7824e,City,Wellington,1.0
city:fa560cb7,City,Tekapo,1.0
city:35f89832,City,Queenstown,1.0
city:faf16fe4,City,Gold Coast,1.0
city:a8113a9b,City,Sydney,1.0
country:aa06e5ae,Country,Avustralya,1.0
country:56f7de13,Country,Yeni Zelanda,1.0
country:519d71b3,Country,Singapur,1.0
hotel:215b83e5,Hotel,JW Marriott Hotel Singapore South Beach,1.0
hotel:39a87307,Hotel,Pullman Rotorua,1.0
hotel:70442d22,Hotel,Intercontinental Hotel Wellington,1.0
hotel:35f6a065,Hotel,Peppers Blue Water Resort Lake Tekapo,1.0
hotel:8f57ecdd,Hotel,The Rees Hotel & Luxury Apartments,1.0
hotel:880f0e9e,Hotel,JW Marriott Gold Coast Resort & Spa,1.0
hotel:d51aacf1,Hotel,Sydney Harbour Marriott Hotel at Circular Quay,1.0
activity:58ef5030,Activity,Auckland Şehir Gezisi,1.0
activity:ad1aa395,Activity,Te Puia Maori Dansı ve Gayzerler,1.0
activity:9358e116,Activity,Weta Workshop,1.0
activity:d88b0494,Activity,Queenstown Panoramik Gezisi,1.0
activity:bb8a83b6,Activity,Seal Bay Conservation Park,1.0
activity:69fa9c57,Activity,Flinders Chase National Park,1.0
activity:7c79f5eb,Activity,Sydney Harbour Tekne Turu & Havai Fişek Gösterisi,1.0
activity:13de3118,Activity,Blue Mountains Gezisi,1.0
activity:a3ff8503,Activity,Sydney Opera Binası & Harbour Bridge,1.0
trip:c762abe4,Trip,BALI & BANGKOK TURU 18 TEMMUZ – 06 AĞUSTOS,1.0
city:24d54538,City,Bali,1.0
city:b90bbd2b,City,Bangkok,1.0
country:13175c72,Country,Endonezya,1.0
country:d1fa54da,Country,Tayland,1.0
hotel:cd4ae2a2,Hotel,Capella Bangkok Hotel,1.0
hotel:1435df7b,Hotel,Riverside Pool Villa,1.0
activity:348f8f36,Activity,Volcanoes & Temples Turu (Helikopter),1.0
restaurant:b148a02a,Restaurant,Koral Restaurant,1.0
restaurant:4660cc04,Restaurant,Restaurant POTONG,1.0
trip:6c1155ed,Trip,DANİMARKA & NORVEÇ TURU 18 – 25 AĞUSTOS 2025,1.0
city:e1e67c3a,City,Kopenhag,1.0
city:a2801999,City,Bergen,1.0
city:d568dddb,City,Flåm,1.0
city:8cfbfaef,City,Oslo,1.0
country:1ffe54df,Country,Danimarka,1.0
country:c1c8cbd1,Country,Norveç,1.0
hotel:9f8a8ec5,Hotel,Nimb Hotel,1.0
hotel:a0780b3c,Hotel,Bergen Børs Hotel,1.0
hotel:8f3efdf8,Hotel,Fretheim Hotel,1.0
activity:be0ac9a8,Activity,Designmuseum Danmark,1.0
activity:4d5a39b8,Activity,Bergen Market Square & Balık Pazarı,1.0
activity:117df42d,Activity,Flåm Railway Museum,1.0
activity:7f036fd0,Activity,Vigeland Heykel Parkı,1.0
activity:2ac11792,Activity,Oslo Opera Binası,1.0
activity:5927b8aa,Activity,Ulusal Müze,1.0
activity:7a2d702e,Activity,Munch Müzesi,1.0
activity:39530a2e,Activity,Astrup Fearnley Museum of Modern Art,1.0
restaurant:1a45707f,Restaurant,Fjellskål Seafood Restaurant,1.0
restaurant:4fb84f01,Restaurant,Restaurant Arven,1.0
restaurant:ae72d583,Restaurant,Lofoten Fiskerestaurant,1.0
restaurant:7da81ca0,Restaurant,Bryggen Tracteursted,1.0
restaurant:80324e66,Restaurant,Izakaya Bar & Terrace,1.0
trip:1386a590,Trip,GÜNEY AFRİKA TURU 19 ARALIK 2025 – 3 OCAK 2026,1.0
city:44b312ab,City,Livingstone,1.0
country:bbf10071,Country,Zambiya,1.0
hotel:6d3de166,Hotel,Royal Livingstone Victoria Falls Zambia Hotel by Anantara,1.0
hotel:55e9c598,Hotel,Babylonstoren Hotel,1.0
hotel:a4143a2c,Hotel,Marataba Safari Lodge,1.0
activity:feb826a2,Activity,Mukuni Village Gezisi,1.0
activity:65106f31,Activity,Sunset Safari Cruise,1.0
