id:ID,name,season,date_start,date_end,:LABEL
148,BALI & BANGKOK TURU 18 TEMMUZ – 06 AĞUSTOS,,,,Trip
149,Bali,,,,City
150,Bangkok,,,,City
151,Endonezya,,,,Country
152,Tayland,,,,Country
153,Volcanoes & Temples Turu (Helikopter),,,,Activity
154,Koral Restaurant,,,,Restaurant
155,Restaurant POTONG,,,,Restaurant
156,Capella Bangkok Hotel,,,,Hotel
157,Riverside Pool Villa,,,,Hotel
158,DANİMARKA & NORVEÇ TURU 18 – 25 AĞUSTOS 2025,Yaz,2025-08-18,2025-08-25,Trip
159,Kopenhag,,,,City
160,Bergen,,,,City
161,Flåm,,,,City
162,Oslo,,,,City
163,Danimarka,,,,Country
164,Norveç,,,,Country
165,Designmuseum Danmark,,,,Activity
166,Bergen Market Square & Balık Pazarı,,,,Activity
167,Flåm Railway Museum,,,,Activity
168,Vigeland Heykel Parkı,,,,Activity
169,Oslo Opera Binası,,,,Activity
170,Ulusal Müze,,,,Activity
171,Munch Müzesi,,,,Activity
172,Astrup Fearnley Museum of Modern Art,,,,Activity
173,Fjellskål Seafood Restaurant,,,,Restaurant
174,Restaurant Arven,,,,Restaurant
175,Lofoten Fiskerestaurant,,,,Restaurant
176,Bryggen Tracteursted,,,,Restaurant
177,Izakaya Bar & Terrace,,,,Restaurant
178,Nimb Hotel,,,,Hotel
179,Bergen Børs Hotel,,,,Hotel
180,Fretheim Hotel,,,,Hotel
181,GÜNEY AFRİKA TURU 19 ARALIK 2025 – 3 OCAK 2026,Kış,2026-01-25,2026-01-03,Trip
182,Livingstone,,,,City
183,Zambiya,,,,Country
184,Mukuni Village Gezisi,,,,Activity
185,Sunset Safari Cruise,,,,Activity
186,David Livingstone Müzesi,,,,Activity
187,Franschhoek Şarap Bağları ve Galeriler,,,,Activity
188,Huguenot Anıt Müzesi,,,,Activity
189,Franschhoek Motor Müzesi,,,,Activity
190,Güney Afrika'nın İlk Parfüm Müzesi,,,,Activity
191,Masa Dağı,,,,Activity
192,Kirstenbosch Ulusal Botanik Bahçesi,,,,Activity
193,Boulders Beach Penguen Kolonisi,,,,Activity
194,Cape Town Şehir Gezisi,,,,Activity
195,Two Oceans Aquarium,,,,Activity
196,Camps Bay ve Clifton Beach,,,,Activity
197,Zeitz Museum of Contemporary Art Africa,,,,Activity
198,Güney Afrika Ulusal Müzesi (İziko),,,,Activity
199,Planetarium,,,,Activity
200,Cape Town Graffiti Street Art Turu,,,,Activity
201,The Lookout Cafe,,,,Restaurant
202,Royal Livingstone Victoria Falls Zambia Hotel by Anantara,,,,Hotel
203,Babylonstoren Hotel,,,,Hotel
