id:ID,name,season,date_start,date_end,:LABEL,id,label,price_usd,value
116.0,Restaurante Ilura,,,,Restaurant,,,,
117.0,Elkano Restaurant,,,,Restaurant,,,,
118.0,Cafe Iruña,,,,Restaurant,,,,
119.0,Hotel Maria Cristina,,,,Hotel,,,,
120.0,AVUSTRALYA & YENİ ZELANDA TURU 14 ARALIK – 3 OCAK,,,,Trip,,,,
121.0,Singapore,,,,City,,,,
122.0,Auckland,,,,City,,,,
123.0,Rotorua,,,,City,,,,
124.0,Wellington,,,,City,,,,
125.0,Tekapo,,,,City,,,,
126.0,Queenstown,,,,City,,,,
127.0,Gold Coast,,,,City,,,,
128.0,Sydney,,,,City,,,,
129.0,Avustralya,,,,Country,,,,
130.0,Yeni Zelanda,,,,Country,,,,
131.0,Singapur,,,,Country,,,,
132.0,Auckland Şehir Gezisi,,,,Activity,,,,
133.0,Te Puia Maori Dansı ve Gayzerler,,,,Activity,,,,
134.0,Weta Workshop,,,,Activity,,,,
135.0,Queenstown Panoramik Gezisi,,,,Activity,,,,
136.0,Seal Bay Conservation Park,,,,Activity,,,,
137.0,Flinders Chase National Park,,,,Activity,,,,
138.0,Sydney Harbour Tekne Turu & Havai Fişek Gösterisi,,,,Activity,,,,
139.0,Blue Mountains Gezisi,,,,Activity,,,,
140.0,Sydney Opera Binası & Harbour Bridge,,,,Activity,,,,
141.0,JW Marriott Hotel Singapore South Beach,,,,Hotel,,,,
142.0,Pullman Rotorua,,,,Hotel,,,,
143.0,Intercontinental Hotel Wellington,,,,Hotel,,,,
144.0,Peppers Blue Water Resort Lake Tekapo,,,,Hotel,,,,
145.0,The Rees Hotel & Luxury Apartments,,,,Hotel,,,,
146.0,JW Marriott Gold Coast Resort & Spa,,,,Hotel,,,,
147.0,Sydney Harbour Marriott Hotel at Circular Quay,,,,Hotel,,,,
148.0,BALI & BANGKOK TURU 18 TEMMUZ – 06 AĞUSTOS,,,,Trip,,,,
149.0,Bali,,,,City,,,,
150.0,Bangkok,,,,City,,,,
151.0,Endonezya,,,,Country,,,,
152.0,Tayland,,,,Country,,,,
153.0,Volcanoes & Temples Turu (Helikopter),,,,Activity,,,,
154.0,Koral Restaurant,,,,Restaurant,,,,
155.0,Restaurant POTONG,,,,Restaurant,,,,
156.0,Capella Bangkok Hotel,,,,Hotel,,,,
157.0,Riverside Pool Villa,,,,Hotel,,,,
158.0,DANİMARKA & NORVEÇ TURU 18 – 25 AĞUSTOS 2025,Yaz,2025-08-18,2025-08-25,Trip,,,,
159.0,Kopenhag,,,,City,,,,
160.0,Bergen,,,,City,,,,
161.0,Flåm,,,,City,,,,
162.0,Oslo,,,,City,,,,
163.0,Danimarka,,,,Country,,,,
164.0,Norveç,,,,Country,,,,
165.0,Designmuseum Danmark,,,,Activity,,,,
166.0,Bergen Market Square & Balık Pazarı,,,,Activity,,,,
167.0,Flåm Railway Museum,,,,Activity,,,,
168.0,Vigeland Heykel Parkı,,,,Activity,,,,
169.0,Oslo Opera Binası,,,,Activity,,,,
170.0,Ulusal Müze,,,,Activity,,,,
171.0,Munch Müzesi,,,,Activity,,,,
172.0,Astrup Fearnley Museum of Modern Art,,,,Activity,,,,
173.0,Fjellskål Seafood Restaurant,,,,Restaurant,,,,
174.0,Restaurant Arven,,,,Restaurant,,,,
175.0,Lofoten Fiskerestaurant,,,,Restaurant,,,,
176.0,Bryggen Tracteursted,,,,Restaurant,,,,
177.0,Izakaya Bar & Terrace,,,,Restaurant,,,,
178.0,Nimb Hotel,,,,Hotel,,,,
179.0,Bergen Børs Hotel,,,,Hotel,,,,
180.0,Fretheim Hotel,,,,Hotel,,,,
181.0,GÜNEY AFRİKA TURU 19 ARALIK 2025 – 3 OCAK 2026,Kış,2026-01-25,2026-01-03,Trip,,,,
182.0,Livingstone,,,,City,,,,
183.0,Zambiya,,,,Country,,,,
184.0,Mukuni Village Gezisi,,,,Activity,,,,
185.0,Sunset Safari Cruise,,,,Activity,,,,
186.0,David Livingstone Müzesi,,,,Activity,,,,
187.0,Franschhoek Şarap Bağları ve Galeriler,,,,Activity,,,,
188.0,Huguenot Anıt Müzesi,,,,Activity,,,,
189.0,Franschhoek Motor Müzesi,,,,Activity,,,,
190.0,Güney Afrika'nın İlk Parfüm Müzesi,,,,Activity,,,,
191.0,Masa Dağı,,,,Activity,,,,
192.0,Kirstenbosch Ulusal Botanik Bahçesi,,,,Activity,,,,
193.0,Boulders Beach Penguen Kolonisi,,,,Activity,,,,
194.0,Cape Town Şehir Gezisi,,,,Activity,,,,
195.0,Two Oceans Aquarium,,,,Activity,,,,
196.0,Camps Bay ve Clifton Beach,,,,Activity,,,,
197.0,Zeitz Museum of Contemporary Art Africa,,,,Activity,,,,
198.0,Güney Afrika Ulusal Müzesi (İziko),,,,Activity,,,,
199.0,Planetarium,,,,Activity,,,,
200.0,Cape Town Graffiti Street Art Turu,,,,Activity,,,,
201.0,The Lookout Cafe,,,,Restaurant,,,,
202.0,Royal Livingstone Victoria Falls Zambia Hotel by Anantara,,,,Hotel,,,,
203.0,Babylonstoren Hotel,,,,Hotel,,,,
204.0,Marataba Safari Lodge,,,,Hotel,,,,
205.0,JAPONYA TURU 19 HAZİRAN – 5 TEMMUZ 2025,,,,Trip,,,,
206.0,Tokyo,,,,City,,,,
207.0,Okayama,,,,City,,,,
208.0,Kyoto,,,,City,,,,
209.0,Naoshima,,,,City,,,,
210.0,Teshima,,,,City,,,,
211.0,Japonya,,,,Country,,,,
212.0,Meiji Tapınağı,,,,Activity,,,,
213.0,Ota Memorial Museum of Art,,,,Activity,,,,
214.0,Doğu Bahçeler,,,,Activity,,,,
215.0,Shibuya Sky,,,,Activity,,,,
216.0,Miyashita Park,,,,Activity,,,,
217.0,Mori Art Museum,,,,Activity,,,,
218.0,National Art Centre,,,,Activity,,,,
219.0,Museum of Contemporary Art,,,,Activity,,,,
220.0,Chichu Sanat Müzesi,,,,Activity,,,,
221.0,Art House Project,,,,Activity,,,,
222.0,Lee Ufan Müzesi,,,,Activity,,,,
223.0,Benesse House,,,,Activity,,,,
224.0,Teshima Sanat Müzesi,,,,Activity,,,,
225.0,Les Archives du Coeur,,,,Activity,,,,
226.0,Mitsui Garden Hotel Premier Jingu-Gaien,,,,Hotel,,,,
227.0,Uno Hotel,,,,Hotel,,,,
228.0,ACE Hotel Kyoto,,,,Hotel,,,,
229.0,LAPLAND TURU 19 – 24 OCAK,Kış,2025-01-19,2025-01-24,Trip,,,,
230.0,Jukkasjärvi,,,,City,,,,
231.0,Harads,,,,City,,,,
232.0,İsveç,,,,Country,,,,
233.0,Gece Safarisi,,,,Activity,,,,
234.0,Kar Mobili Safarisi,,,,Activity,,,,
235.0,ICEHOTEL,,,,Hotel,,,,
236.0,Kaamos Hotel,,,,Hotel,,,,
237.0,Treehotel,,,,Hotel,,,,
238.0,MISIR TURU 20 – 25 NİSAN 2024,İlkbahar,2024-04-20,2024-04-25,Trip,,,,
239.0,Kahire,,,,City,,,,
240.0,Aswan,,,,City,,,,
241.0,Luxor,,,,City,,,,
242.0,Mısır,,,,Country,,,,
243.0,Giza Piramitleri,,,,Activity,,,,
244.0,Büyük Giza Sfenksi,,,,Activity,,,,
245.0,Mısır Müzesi,,,,Activity,,,,
246.0,Khan El Khalili Çarşısı,,,,Activity,,,,
247.0,High Dam,,,,Activity,,,,
248.0,Philae Tapınağı,,,,Activity,,,,
249.0,Kom Ombo Tapınağı,,,,Activity,,,,
250.0,Edfu Tapınağı,,,,Activity,,,,
251.0,Luxor East Bank Gezisi,,,,Activity,,,,
252.0,Karnak Tapınağı,,,,Activity,,,,
253.0,Luxor Tapınağı,,,,Activity,,,,
254.0,Nil Nehri Sıcak Hava Balonu,,,,Activity,,,,
255.0,Marriott Mena House Hotel,,,,Hotel,,,,
256.0,Movenpick Sunray Nile Cruise,,,,Hotel,,,,
257.0,AMALFI TURU 20 – 23 HAZİRAN,Yaz,2025-06-20,2025-06-23,Trip,,,,
258.0,Amalfi,,,,City,,,,
259.0,Ravello,,,,City,,,,
260.0,Pompei,,,,City,,,,
261.0,Napoli,,,,City,,,,
262.0,Sorrento,,,,City,,,,
263.0,Ravello - Villa Cimbrone Bahçesi,,,,Activity,,,,
264.0,Ravello - Villa Rufolo,,,,Activity,,,,
265.0,Pompei Şehri Ziyareti,,,,Activity,,,,
266.0,Napoli Şehri Gezisi,,,,Activity,,,,
267.0,Duomo di Napoli,,,,Activity,,,,
268.0,Il Pio Monte della Misericordia,,,,Activity,,,,
269.0,Palazzo Reale,,,,Activity,,,,
270.0,Castel dell’Ovo,,,,Activity,,,,
271.0,Amalfi Kasabası Gezisi,,,,Activity,,,,
272.0,Cattedrale di Sant’Andrea,,,,Activity,,,,
273.0,Piazza Duomo,,,,Activity,,,,
274.0,Piazza dei Dogi,,,,Activity,,,,
